,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_clv,manual_predicted_clv,clv_profit
817,1.0,11.0,123.0,53.9,0.043863929129205746,0.01,61.56283114748779,0.5594858771725904,0.615628311474878,0.05594858771725904
819,1.0,135.0,279.0,19.9,0.05493469047736916,0.01,27.507631685922718,0.20823240193457776,0.2750763168592272,0.020823240193457777
820,1.0,187.0,189.0,599.6,0.12003427730280722,0.02,608.1487825056072,12.468231507206125,12.162975650112145,1.2468231507206127
821,1.0,23.0,307.0,448.0,0.017575795131365007,0.0,456.30265784756995,1.0424736160539285,0.0,0.10424736160539286
822,1.0,489.0,525.0,74.99,0.1094157597554745,0.01,82.68707104879388,0.8158469355391799,0.8268707104879388,0.081584693553918
823,1.0,2.0,176.0,69.9,0.027258065942970602,0.0,77.58880736469489,0.3741735080987569,0.0,0.03741735080987569
824,1.0,28.0,288.0,236.0,0.020350082778421114,0.0,243.958472969576,0.6711496661551087,0.0,0.06711496661551088
825,1.0,12.0,22.0,99.0,0.10874864949112674,0.03,106.73605160974027,3.568123587142755,3.2020815482922083,0.3568123587142755
826,1.0,247.0,276.0,45.0,0.10628346361774572,0.01,52.64838187666635,0.7760777898379866,0.5264838187666635,0.07760777898379867
827,1.0,524.0,692.0,98.0,0.07900999521307836,0.01,105.73442809616483,0.6101798270609957,1.0573442809616485,0.06101798270609957
828,2.0,51.0,184.0,48.95,0.1133270896456026,0.03,52.77429298185865,1.5120872175737599,1.5832287894557595,0.15120872175737599
829,1.0,174.0,450.0,49.9,0.03594816742444026,0.0,57.556337093186016,0.20855270111747237,0.0,0.02085527011174724
831,1.0,6.0,275.0,189.9,0.016574612901006303,0.0,197.78362899374807,0.4556461176624544,0.0,0.04556461176624544
833,4.0,445.0,520.0,97.4125,0.45819945606426477,0.1,99.34351729588957,9.8566289151402,9.934351729588958,0.9856628915140201
836,1.0,22.0,300.0,49.0,0.01793873261694855,0.0,56.65487593096812,0.13400672568322497,0.0,0.013400672568322497
837,1.0,206.0,464.0,836.0,0.041523801102561424,0.0,844.9325811148419,3.4603548109233366,0.0,0.3460354810923337
838,1.0,112.0,555.0,153.0,0.016603592672588822,0.0,160.82372134281422,0.2310545861388919,0.0,0.023105458613889192
839,1.0,101.0,160.0,151.96,0.08135170031632122,0.02,159.78203288869577,2.405809579249738,3.1956406577739154,0.2405809579249738
840,1.0,47.0,388.0,199.9,0.01628707690035794,0.0,207.7998641295025,0.37793782486834887,0.0,0.03779378248683489
841,1.0,103.0,210.0,56.9,0.06159208366370401,0.01,64.56770168821411,0.6433028846347043,0.6456770168821412,0.06433028846347043
842,1.0,318.0,398.0,27.9,0.08982769711613903,0.01,35.52061979452626,0.350212947561322,0.35520619794526265,0.0350212947561322
843,1.0,29.0,100.0,45.9,0.06432866290851834,0.01,53.54984303888424,0.770951140089569,0.5354984303888424,0.07709511400895691
845,1.0,159.0,366.0,41.3,0.04446801440089477,0.01,48.942374876437206,0.25270471022812374,0.48942374876437206,0.025270471022812376
847,1.0,12.0,288.0,25.0,0.01680339023849574,0.0,32.61591160515748,0.07409070494833875,0.0,0.0074090704948338755
848,1.0,20.0,175.0,599.6,0.034324508237134684,0.01,608.1487825056072,3.7033245784564444,6.081487825056072,0.37033245784564445
850,3.0,421.0,436.0,512.6333333333333,0.4924148510570065,0.1,515.4328336293978,50.29438298459348,51.54328336293978,5.029438298459349
851,1.0,3.0,196.0,120.0,0.024430967154277356,0.0,127.77014539482458,0.5234133329459287,0.0,0.052341333294592875
853,1.0,55.0,355.0,238.1,0.020172180549554584,0.0,246.06188234808442,0.5880397939292974,0.0,0.058803979392929744
856,1.0,84.0,361.0,59.9,0.02579176444402658,0.0,67.57257222894044,0.2042104875416213,0.0,0.020421048754162133
858,1.0,43.0,275.0,548.0,0.0255335267725954,0.0,556.4650092051143,1.9748886084175064,0.0,0.19748886084175066
860,1.0,4.0,431.0,179.9,0.008362523452503046,0.0,187.76739385799365,0.16313927378351814,0.0,0.016313927378351814
861,1.0,148.0,479.0,279.6,0.02747902710745182,0.0,287.6292581614653,0.7619731803796498,0.0,0.07619731803796498
862,1.0,97.0,349.0,603.6999999999999,0.030249233778741027,0.0,612.2554389112664,2.218670514814388,0.0,0.22186705148143882
863,1.0,2.0,202.0,20.0,0.02326922983799151,0.0,27.607794037280264,0.1060557558820427,0.0,0.01060557558820427
864,1.0,1.0,217.0,45.9,0.021060650669961125,0.0,53.54984303888424,0.17927128689528551,0.0,0.017927128689528553
866,1.0,12.0,541.0,459.9,0.006423101701614625,0.0,468.22197765911767,0.2652367871152417,0.0,0.026523678711524168
867,1.0,186.0,368.0,219.6,0.052215853513681784,0.01,227.53184734693872,1.3745379272331415,2.275318473469387,0.13745379272331415
869,1.0,83.0,533.0,39.9,0.013928478850578772,0.0,47.54010195743158,0.05904745104038917,0.0,0.0059047451040389175
870,1.0,7.0,210.0,11.9,0.023709399229840826,0.0,19.494643577319174,0.07476720113336904,0.0,0.007476720113336905
873,1.0,85.0,448.0,352.0,0.01874440285569379,0.0,360.1468005443274,0.6825951782395202,0.0,0.06825951782395202
874,1.0,242.0,359.0,152.0,0.07344904488853392,0.01,159.82209782923877,1.3805050559507512,1.5982209782923877,0.13805050559507512
875,1.0,11.0,378.0,195.0,0.011208627659988072,0.0,202.8919089129828,0.25844679072032023,0.0,0.025844679072032025
876,1.0,154.0,488.0,489.9,0.02779353685126356,0.0,498.27068306638097,1.3172953710889772,0.0,0.13172953710889773
877,1.0,103.0,581.0,34.9,0.014311014081236943,0.0,42.53198438955437,0.05088470239598069,0.0,0.005088470239598069
878,1.0,266.0,368.0,139.0,0.07972453657377719,0.01,146.800992152758,1.3540451554622557,1.46800992152758,0.13540451554622557
879,1.0,121.0,327.0,139.99,0.04005194803670001,0.01,147.79259943119771,0.7394870450650841,1.4779259943119771,0.07394870450650841
880,1.0,98.0,461.0,97.0,0.020017492405966196,0.0,104.7328045825894,0.20773059712670974,0.0,0.020773059712670974
881,1.0,25.0,46.0,169.99,0.09839647997610493,0.03,177.841304838461,4.82467459663358,5.33523914515383,0.482467459663358
882,1.0,324.0,349.0,119.99,0.11016925681604994,0.01,127.76012915968883,1.6861707200346536,1.2776012915968884,0.16861707200346537
884,1.0,7.0,275.0,39.5,0.01679099977531153,0.0,47.13945255200141,0.11001579189219227,0.0,0.011001579189219228
886,1.0,19.0,236.0,43.0,0.023814357589270578,0.0,50.64513484951546,0.18310027379522623,0.0,0.018310027379522625
887,1.0,47.0,307.0,110.0,0.022899316498029964,0.0,117.75391025907015,0.3505055906387965,0.0,0.035050559063879654
888,1.0,225.0,323.0,124.9,0.07779371616038944,0.01,132.67810061134426,1.2995477462055898,1.3267810061134426,0.129954774620559
889,1.0,67.0,69.0,169.9,0.11933200693611226,0.03,177.7511587222392,5.322429958538339,5.332534761667176,0.532242995853834
891,1.0,32.0,309.0,189.9,0.019311785436185613,0.0,197.78362899374807,0.4944865019568469,0.0,0.049448650195684694
892,1.0,298.0,470.0,8.5,0.06464091654593632,0.01,16.089123631162664,0.10163792407712438,0.16089123631162663,0.010163792407712438
893,1.0,21.0,375.0,336.0,0.012831443774213597,0.0,344.1208243271203,0.5044909614480391,0.0,0.05044909614480391
894,1.0,239.0,505.0,179.9,0.043550780221314485,0.0,187.76739385799365,0.7587255236376554,0.0,0.07587255236376556
896,1.0,1.0,13.0,63.49,0.10550804646969361,0.03,71.16840064267629,2.412187182317767,2.1350520192802884,0.2412187182317767
897,1.0,167.0,251.0,139.99,0.07746482875033056,0.01,147.79259943119771,1.6785298748729767,1.4779259943119771,0.16785298748729768
899,1.0,46.0,323.0,89.9,0.021097138717913556,0.0,97.62127763620376,0.25930836239906924,0.0,0.025930836239906926
900,1.0,117.0,489.0,59.9,0.021216594680248578,0.0,67.57257222894044,0.13616861949330486,0.0,0.013616861949330487
901,1.0,148.0,181.0,1150.0,0.09962735003667175,0.02,1159.442364377531,20.1586916694226,23.188847287550622,2.01586916694226
902,1.0,74.0,383.0,389.09999999999997,0.021607866240951925,0.0,397.3070328979763,0.9670844000070713,0.0,0.09670844000070714
903,1.0,219.0,383.0,122.99,0.059454163028627806,0.01,130.76499970041516,0.8757900948868574,1.3076499970041515,0.08757900948868574
